game_name,average_score,gb_review_count,original_release_date,id,name,Genre1,Genre2,Genre3,Genre4,Genre5,Involved_company1,Involved_company2,rating,rating_count,franchise_len,first_release_date,multiplayer
'n Verlore Verstand,0.4,49,2016-01-31,19055,'n Verlore Verstand,8,9,31,32,0,22110,22109,70,0,1,1459814400,0
10 Second Ninja X,1.0,147,2016-07-19,18686,10 Second Ninja X,4,8,9,32,33,5048,9388,65.36736206329255,29,1,1468886400,0
1080° Avalanche,0.8,98,2003-11-28,3774,1080° Avalanche,10,14,0,0,0,70,768,69.59994917927591,9,1,1069977600,1
18 Wheels of Steel: Across America,0.8,49,,26814,18 Wheels of Steel: Across America,10,11,13,0,0,1305,1443,64.51606803688259,5,1,1064275200,0
198X,0.8,98,2019-06-20,100562,198X,5,10,12,25,31,15446,29538,79.53073820799018,24,1,1560988800,0
3Souls,0.6,49,2016-07-28,26407,3Souls,8,9,31,0,0,11767,,78,0,1,1469664000,0
A Boy and His Blob,0.7333333333333333,147,2009-10-13,4656,A Boy and His Blob,8,9,31,0,0,2345,700,68.29949633731223,15,1,1255392000,0
APB Reloaded,0.65,392,2010-06-29,1014,APB Reloaded,5,31,0,0,0,735,949,62.49645379371893,24,1,1323216000,1
Ace Combat 5: The Unsung War,1.0,98,2004-10-25,14753,Ace Combat 5: The Unsung War,13,0,0,0,0,263,419,73.8496570643296,18,1,1098316800,0
Advance Wars: Dual Strike,0.9,98,2005-06-23,1693,Advance Wars: Dual Strike,13,15,16,24,0,25077,70,87.76719068438081,49,1,1119484800,0
Adventure Time: Finn and Jake Investigations,0.6,98,2015-10-20,11320,Adventure Time: Finn and Jake Investigations,9,12,31,0,0,448,1737,57.66355140186916,5,1,1443657600,0
Age of Empires: The Age of Kings,0.8,98,2006-02-14,24273,Age of Empires: The Age of Kings,15,16,0,0,0,1267,700,69.9674133068102,9,1,1139875200,0
Agents of Mayhem,0.5333333333333333,588,2017-08-15,19440,Agents of Mayhem,5,31,0,0,0,423,7462,66.95752848493983,33,1,1502755200,0
Alan Wake,0.8555555555555555,10584,2010-05-14,1062,Alan Wake,5,31,0,0,0,53,305,81.32330116512215,767,1,1273795200,0
Alex Kidd in Miracle World,0.8,98,1986-11-01,26778,Alex Kidd in Miracle World,8,25,31,0,0,23993,4981,66.00481235609644,50,1,531187200,0
Alien Hominid,0.8,98,2004-11-18,2690,Alien Hominid,5,8,0,0,0,1264,355,71.95460550613501,38,1,1028678400,0
Alien Swarm,0.8,588,2010-07-19,7598,Alien Swarm,5,0,0,0,0,56,,70.38737720880528,58,1,1278720000,1
Alleyway,0.6,196,1989-08-15,7751,Alleyway,9,33,0,0,0,70,70,70.42804836753287,14,1,609120000,0
Alpha Mission,0.6,49,,8911,Alpha Mission,5,33,0,0,0,1474,1474,69.36202673097233,13,1,499651200,0
